history_need,arm,n,overall_mean,support_mean,clear_omission_rate,omission_severity_mean,input_tokens_mean
helpful,pm_off,169,3.4792899408284024,3.437869822485207,0.04142011834319527,0.35502958579881655,1293.603550295858
helpful,rule_off,169,3.4615384615384617,3.4201183431952664,0.05917159763313609,0.4378698224852071,1609.8816568047337
helpful,fixed_off,169,3.497041420118343,3.437869822485207,0.029585798816568046,0.3905325443786982,1637.1775147928995
helpful,pm_on,169,3.2485207100591715,3.1893491124260356,0.047337278106508875,0.39644970414201186,699.8698224852071
helpful,rule_on,169,3.242603550295858,3.195266272189349,0.023668639053254437,0.33727810650887574,732.7041420118343
helpful,fixed_on,169,3.2662721893491122,3.2189349112426036,0.03550295857988166,0.3431952662721893,734.905325443787
not_needed,pm_off,35,3.2857142857142856,3.2857142857142856,0,0.2571428571428571,1183.057142857143
not_needed,rule_off,35,3.3142857142857145,3.3142857142857145,0,0.22857142857142856,1595.4285714285713
not_needed,fixed_off,35,3.4,3.4,0,0.17142857142857143,1623.2
not_needed,pm_on,35,3.342857142857143,3.342857142857143,0.02857142857142857,0.2571428571428571,661.8571428571429
not_needed,rule_on,35,3.4,3.4,0,0.14285714285714285,715.4857142857143
not_needed,fixed_on,35,3.3714285714285714,3.3714285714285714,0,0.22857142857142856,718.8571428571429
