arm,metric,score,count,percent
pm_off,overall,2,19,9.313725490196079
pm_off,overall,3,83,40.68627450980392
pm_off,overall,4,94,46.07843137254902
pm_off,overall,5,8,3.9215686274509802
pm_off,emotional_support,2,21,10.294117647058824
pm_off,emotional_support,3,86,42.15686274509804
pm_off,emotional_support,4,89,43.627450980392155
pm_off,emotional_support,5,8,3.9215686274509802
pm_off,personalization,2,23,11.27450980392157
pm_off,personalization,3,97,47.549019607843135
pm_off,personalization,4,76,37.254901960784316
pm_off,personalization,5,8,3.9215686274509802
pm_off,memory_appropriateness,1,1,0.49019607843137253
pm_off,memory_appropriateness,2,21,10.294117647058824
pm_off,memory_appropriateness,3,87,42.64705882352941
pm_off,memory_appropriateness,4,29,14.215686274509803
pm_off,memory_appropriateness,5,66,32.35294117647059
pm_off,factual_grounding,5,204,100.0
pm_off,temporal_consistency,5,204,100.0
pm_off,non_intrusiveness,2,1,0.49019607843137253
pm_off,non_intrusiveness,3,1,0.49019607843137253
pm_off,non_intrusiveness,4,14,6.862745098039215
pm_off,non_intrusiveness,5,188,92.15686274509804
pm_off,risk_selected_evidence_misuse,0,202,99.01960784313725
pm_off,risk_selected_evidence_misuse,1,2,0.9803921568627451
pm_off,risk_unnecessary_exposure,0,204,100.0
pm_off,risk_stale_or_conflict,0,204,100.0
pm_off,risk_unsupported_personal_claim,0,204,100.0
pm_off,risk_source_set_appropriateness,1,15,7.352941176470588
pm_off,risk_source_set_appropriateness,3,3,1.4705882352941178
pm_off,risk_source_set_appropriateness,4,60,29.41176470588235
pm_off,risk_source_set_appropriateness,5,126,61.76470588235294
pm_off,risk_strategy_overuse,0,204,100.0
pm_off,risk_strategy_omission,0,183,89.70588235294117
pm_off,risk_strategy_omission,1,21,10.294117647058824
pm_off,risk_response_support_sufficiency,3,2,0.9803921568627451
pm_off,risk_response_support_sufficiency,4,93,45.588235294117645
pm_off,risk_response_support_sufficiency,5,109,53.431372549019606
pm_off,risk_overall_risk,0,137,67.15686274509804
pm_off,risk_overall_risk,1,67,32.84313725490196
pm_off,risk_omission_severity,0,204,100.0
pm_off,omission_omission_severity,0,142,69.6078431372549
pm_off,omission_omission_severity,1,55,26.96078431372549
pm_off,omission_omission_severity,2,7,3.4313725490196076
